,20151231,20160331,20160630,20160930,20161230,20170331,20170630,20170929,20171229,20180330,20180629,20180928,20181228,20190329,20190628,20190930,20191231,20200331,20200630,20200930
248,600066.SH,300144.SZ,000060.SZ,601099.SH,601169.SH,600519.SH,600373.SH,600373.SH,000540.SZ,601866.SH,601336.SH,601336.SH,601336.SH,601828.SH,601336.SH,601336.SH,002493.SZ,300347.SZ,601169.SH,600436.SH
249,600031.SH,601098.SH,300024.SZ,600688.SH,601186.SH,600535.SH,600376.SH,600376.SH,000559.SZ,000895.SZ,601360.SH,601360.SH,601360.SH,601838.SH,601360.SH,601360.SH,002508.SZ,603993.SH,002179.SZ,600031.SH
250,600717.SH,600660.SH,600023.SH,000792.SZ,601198.SH,600547.SH,600383.SH,600383.SH,000568.SZ,600522.SH,601377.SH,601377.SH,601377.SH,601857.SH,601377.SH,601377.SH,002555.SZ,603288.SH,601939.SH,600271.SH
251,600820.SH,002375.SZ,601111.SH,600031.SH,601211.SH,600549.SH,600406.SH,600406.SH,000623.SZ,601988.SH,601390.SH,601390.SH,601390.SH,601877.SH,601390.SH,601390.SH,002602.SZ,601238.SH,601808.SH,600029.SH
252,601919.SH,000917.SZ,002152.SZ,600104.SH,601216.SH,600570.SH,600415.SH,600415.SH,000625.SZ,000002.SZ,601398.SH,601398.SH,601398.SH,601878.SH,601398.SH,601398.SH,002558.SZ,002714.SZ,000333.SZ,600352.SH
253,600895.SH,600873.SH,601928.SH,600027.SH,601225.SH,600582.SH,600436.SH,600436.SH,000627.SZ,000725.SZ,601555.SH,601555.SH,601555.SH,601881.SH,601555.SH,601555.SH,002594.SZ,002773.SZ,002739.SZ,600489.SH
254,601688.SH,600036.SH,601998.SH,002241.SZ,601258.SH,600583.SH,600446.SH,600446.SH,000630.SZ,002146.SZ,601600.SH,601600.SH,601600.SH,601888.SH,601577.SH,601577.SH,002601.SZ,601169.SH,603899.SH,600487.SH
255,000826.SZ,601225.SH,600871.SH,600705.SH,601288.SH,600585.SH,600482.SH,600482.SH,000651.SZ,002304.SZ,601601.SH,601601.SH,601601.SH,601898.SH,601600.SH,601600.SH,002607.SZ,002179.SZ,603369.SH,600547.SH
256,600600.SH,000425.SZ,600271.SH,600332.SH,601318.SH,600588.SH,600485.SH,600485.SH,000671.SZ,600074.SH,601607.SH,601607.SH,601607.SH,601899.SH,601601.SH,601601.SH,002624.SZ,601939.SH,601021.SH,600015.SH
257,600900.SH,002594.SZ,601800.SH,600352.SH,601328.SH,600606.SH,600489.SH,600489.SH,000686.SZ,002153.SZ,601611.SH,601611.SH,601611.SH,601901.SH,601607.SH,601607.SH,002673.SZ,601808.SH,601828.SH,600406.SH
258,600827.SH,002470.SZ,000738.SZ,601633.SH,601333.SH,600637.SH,600498.SH,600498.SH,000709.SZ,002310.SZ,601618.SH,601618.SH,601618.SH,601919.SH,601618.SH,601618.SH,002714.SZ,000333.SZ,601985.SH,600900.SH
259,601225.SH,002304.SZ,601328.SH,000559.SZ,601336.SH,600648.SH,600518.SH,601398.SH,000723.SZ,601966.SH,601628.SH,601628.SH,601628.SH,601933.SH,601628.SH,601628.SH,002736.SZ,600023.SH,603986.SH,600340.SH
260,000002.SZ,002410.SZ,300003.SZ,600196.SH,601377.SH,600649.SH,600519.SH,601555.SH,000725.SZ,601006.SH,601633.SH,601633.SH,601633.SH,601939.SH,601633.SH,601633.SH,002739.SZ,002739.SZ,603160.SH,000100.SZ
261,600340.SH,000046.SZ,002568.SZ,600674.SH,601390.SH,600654.SH,600522.SH,601600.SH,000728.SZ,601818.SH,601668.SH,601668.SH,601668.SH,601985.SH,601668.SH,601668.SH,002773.SZ,603899.SH,300433.SZ,300433.SZ
262,600332.SH,601318.SH,002183.SZ,601608.SH,601398.SH,600660.SH,600535.SH,601601.SH,000738.SZ,601997.SH,601669.SH,601669.SH,601669.SH,601988.SH,601669.SH,601669.SH,002841.SZ,601021.SH,603799.SH,603799.SH
263,300058.SZ,000895.SZ,600221.SH,600170.SH,601555.SH,600663.SH,600547.SH,601607.SH,000750.SZ,000776.SZ,601688.SH,601688.SH,601688.SH,601989.SH,601688.SH,601688.SH,002916.SZ,601828.SH,601212.SH,601212.SH
264,600875.SH,002399.SZ,600999.SH,601808.SH,601600.SH,600666.SH,600549.SH,601608.SH,000768.SZ,601600.SH,601718.SH,601718.SH,601727.SH,601991.SH,601727.SH,601727.SH,002938.SZ,601985.SH,603658.SH,603658.SH
