trade_date,close
2018-09-18,3269.4319
2018-09-19,3312.4823
2018-09-20,3310.1258
2018-09-21,3410.4856
2018-09-25,3379.8043
2018-09-26,3417.2413
2018-09-27,3403.5902
2018-09-28,3438.8649
2018-10-08,3290.8988
2018-10-09,3288.6906
2018-10-10,3281.5978
2018-10-11,3124.1139
2018-10-12,3170.7262
2018-10-15,3126.4516
2018-10-16,3100.9738
2018-10-17,3118.2463
2018-10-18,3044.3918
2018-10-19,3134.9455
2018-10-22,3270.2732
2018-10-23,3183.4257
2018-10-24,3188.2018
2018-10-25,3194.3084
2018-10-26,3173.635
2018-10-29,3076.8889
2018-10-30,3110.2605
2018-10-31,3153.8234
2018-11-01,3177.0338
2018-11-02,3290.2455
2018-11-05,3262.8351
2018-11-06,3243.1504
2018-11-07,3221.9101
2018-11-08,3212.7737
2018-11-09,3167.4442
2018-11-12,3205.1407
2018-11-13,3237.3823
2018-11-14,3204.9427
2018-11-15,3242.3715
2018-11-16,3257.6735
2018-11-19,3294.6031
2018-11-20,3218.4076
2018-11-21,3226.4918
2018-11-22,3214.4273
2018-11-23,3143.4752
2018-11-26,3141.2434
2018-11-27,3137.2413
2018-11-28,3178.9326
2018-11-29,3137.6542
2018-11-30,3172.69
2018-12-03,3260.9502
2018-12-04,3267.7095
2018-12-05,3252.0041
2018-12-06,3181.673
2018-12-07,3181.5646
2018-12-10,3144.7631
2018-12-11,3159.8158
2018-12-12,3170.6092
2018-12-13,3219.6924
2018-12-14,3165.9109
2018-12-17,3161.1966
2018-12-18,3128.4265
2018-12-19,3091.1255
2018-12-20,3067.4169
2018-12-21,3029.3951
2018-12-24,3038.1981
2018-12-25,3017.2815
2018-12-26,3002.0327
2018-12-27,2990.5057
2018-12-28,3010.6536
2019-01-02,2969.5353
2019-01-03,2964.8421
2019-01-04,3035.8741
2019-01-07,3054.303
2019-01-08,3047.7035
2019-01-09,3078.4759
2019-01-10,3072.6864
2019-01-11,3094.7782
2019-01-14,3067.7845
2019-01-15,3127.9904
2019-01-16,3128.6517
2019-01-17,3111.4168
2019-01-18,3168.1739
2019-01-21,3185.6364
2019-01-22,3143.3171
2019-01-23,3141.0532
2019-01-24,3158.7817
2019-01-25,3184.4696
2019-01-28,3183.7777
2019-01-29,3193.9698
2019-01-30,3168.4829
2019-01-31,3201.6331
2019-02-01,3247.3971
2019-02-11,3306.4725
2019-02-12,3330.3353
2019-02-13,3397.0276
2019-02-14,3402.1403
2019-02-15,3338.7047
2019-02-18,3445.7448
2019-02-19,3439.6078
2019-02-20,3451.9273
2019-02-21,3442.7056
2019-02-22,3520.1182
2019-02-25,3729.4831
2019-02-26,3684.6935
2019-02-27,3678.3921
2019-02-28,3669.3703
2019-03-01,3749.7143
2019-03-04,3794.104
2019-03-05,3816.0132
2019-03-06,3848.0903
2019-03-07,3808.8497
2019-03-08,3657.579
2019-03-11,3729.9546
2019-03-12,3755.3519
2019-03-13,3724.1941
2019-03-14,3698.4858
2019-03-15,3745.005
2019-03-18,3851.7479
2019-03-19,3833.9626
2019-03-20,3835.4397
2019-03-21,3836.8913
2019-03-22,3833.8013
2019-03-25,3742.8252
2019-03-26,3700.4388
2019-03-27,3743.3878
2019-03-28,3728.3953
2019-03-29,3872.3412
2019-04-01,3973.928
2019-04-02,3971.2852
2019-04-03,4022.1566
2019-04-04,4062.2309
2019-04-08,4057.2286
2019-04-09,4075.4301
2019-04-10,4085.847
2019-04-11,3997.5778
2019-04-12,3988.6168
2019-04-15,3975.5244
2019-04-16,4085.7891
2019-04-17,4087.2398
2019-04-18,4072.0753
2019-04-19,4120.6078
2019-04-22,4025.6109
2019-04-23,4019.0053
2019-04-24,4030.0887
2019-04-25,3941.816
2019-04-26,3889.2748
2019-04-29,3900.3339
2019-04-30,3913.211
2019-05-06,3684.6168
2019-05-07,3720.6684
2019-05-08,3667.4574
2019-05-09,3599.7001
2019-05-10,3730.4513
2019-05-13,3668.7255
2019-05-14,3645.1503
2019-05-15,3727.0923
2019-05-16,3743.9635
2019-05-17,3648.7609
2019-05-20,3617.7924
2019-05-21,3666.7762
2019-05-22,3649.3796
2019-05-23,3583.9646
2019-05-24,3593.9139
2019-05-27,3637.1971
2019-05-28,3672.2605
2019-05-29,3663.909
2019-05-30,3641.1833
2019-05-31,3629.7893
2019-06-03,3632.0127
2019-06-04,3598.4666
2019-06-05,3597.105
2019-06-06,3564.6778
2019-06-10,3610.7435
2019-06-11,3719.2759
2019-06-12,3691.0957
2019-06-13,3685.3933
2019-06-14,3654.8799
2019-06-17,3654.8248
2019-06-18,3667.6185
2019-06-19,3715.9381
2019-06-20,3828.5183
2019-06-21,3833.9383
2019-06-24,3841.2659
2019-06-25,3801.3098
2019-06-26,3794.331
2019-06-27,3834.8172
2019-06-28,3825.5873
2019-07-01,3935.8116
2019-07-02,3937.1691
2019-07-03,3893.5341
